word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,3.18%,him,2.27%,passed,2.27%
picture,the,66.2%,this,4.23%,his,4.23%
of,one,3.1%,out,2.54%,sense,1.25%
dorian,said,7.35%,cried,4.41%,you,3.43%
gray,dorian,74.74%,mr,24.21%,again,0.53%
the,of,10.71%,in,7.61%,to,4.57%
is,it,26.2%,that,10.59%,there,7.8%
things,the,7.03%,beautiful,6.25%,such,3.12%
to,seemed,4.24%,going,2.24%,him,2.1%
art,of,22.37%,that,9.21%,my,6.58%
and,him,2.43%,up,1.38%,it,1.06%
he,that,7.88%,as,6.43%,him,3.48%
who,man,8.41%,people,7.94%,one,7.48%
can,i,18.37%,one,13.27%,you,10.2%
into,came,4.4%,out,3.77%,it,3.77%
or,once,1.83%,two,1.83%,you,1.37%
a,in,6.5%,of,6.32%,with,6.26%
his,of,11.57%,in,10.06%,to,4.33%
as,him,3.35%,and,3.17%,it,2.47%
those,of,39.06%,to,6.25%,in,4.69%
in,and,2.58%,him,1.58%,was,1.5%
are,you,35.39%,they,11.8%,we,7.51%
being,of,15.87%,for,12.7%,was,7.94%
this,in,8.16%,of,4.08%,that,3.4%
for,waiting,2.41%,as,2.23%,him,2.06%
there,but,4.8%,and,4.5%,was,3.3%
they,that,8.2%,as,5.05%,when,5.05%
only,the,25.45%,is,13.64%,are,5.45%
beauty,of,16.36%,his,9.09%,own,9.09%
no,is,11.57%,was,7.87%,have,7.41%
such,no,9.09%,in,9.09%,had,6.49%
thing,the,23.33%,whole,10.0%,a,6.67%
an,of,10.22%,with,7.56%,in,6.22%
well,as,10.77%,very,7.69%,quite,4.62%
that,and,3.43%,me,2.53%,him,2.38%
all,at,9.86%,is,7.82%,it,7.82%
own,his,54.62%,my,9.23%,your,8.46%
face,his,22.43%,the,21.5%,to,4.67%
not,is,9.51%,was,8.25%,could,8.25%
life,of,15.35%,his,12.28%,my,10.96%
man,the,34.5%,a,18.13%,young,11.11%
but,it,3.05%,him,3.05%,you,2.54%
anything,do,13.24%,believe,8.82%,know,7.35%
be,to,38.63%,would,13.69%,will,7.06%
has,he,14.63%,it,14.02%,one,9.15%
ever,had,15.38%,have,12.82%,would,8.97%
everything,know,7.25%,in,5.8%,of,5.8%
thought,i,28.05%,he,17.07%,the,7.32%
from,broke,5.14%,away,3.95%,up,3.56%
at,looked,5.57%,look,5.39%,looking,3.95%
once,at,30.38%,had,8.86%,me,7.59%
go,to,21.74%,us,10.43%,must,8.7%
do,to,29.73%,what,8.65%,you,7.57%
so,am,5.24%,was,4.03%,and,3.63%
their,of,14.1%,in,7.69%,with,5.77%
it,that,2.93%,as,2.33%,of,2.18%
really,you,10.78%,i,9.8%,are,9.8%
about,me,4.5%,talk,4.05%,anything,3.6%
when,and,7.44%,him,2.33%,that,2.33%
with,and,3.58%,him,3.58%,do,2.64%
himself,to,11.43%,of,8.57%,flung,7.62%
we,that,13.17%,when,8.98%,and,4.79%
long,a,20.55%,the,13.7%,as,10.96%
one,that,6.6%,the,6.33%,some,5.8%
quite,is,21.5%,are,11.21%,am,8.41%
was,it,21.7%,he,15.06%,there,9.64%
came,i,7.22%,there,5.15%,he,5.15%
through,passed,4.76%,going,4.76%,way,3.57%
door,the,85.07%,open,2.99%,your,2.99%
more,the,8.82%,any,7.35%,much,6.62%
on,down,4.21%,was,1.97%,out,1.69%
which,in,16.1%,of,11.86%,on,5.93%
lord,said,20.0%,answered,4.49%,asked,4.08%
henry,lord,95.52%,lady,1.79%,sir,0.9%
seemed,it,19.49%,he,11.86%,that,8.47%
now,and,15.67%,me,6.72%,him,2.99%
then,and,29.93%,but,4.08%,moment,2.04%
across,come,9.84%,passed,6.56%,came,6.56%
were,you,15.2%,they,9.2%,there,8.8%
him,to,19.21%,at,6.96%,for,4.39%
think,i,27.56%,to,18.9%,don't,14.17%
round,turned,12.5%,looked,11.25%,buzzed,3.75%
make,to,25.0%,and,10.0%,will,10.0%
like,i,6.13%,you,5.66%,was,5.19%
room,the,58.82%,locked,4.9%,a,4.9%
portrait,the,53.85%,a,7.69%,his,5.77%
young,the,25.0%,a,8.33%,this,5.56%
some,of,8.04%,to,7.14%,in,6.25%
little,a,39.08%,the,14.94%,her,8.05%
away,go,7.07%,hidden,6.06%,passed,6.06%
basil,dear,6.54%,that,5.88%,and,2.61%
time,the,14.55%,some,10.0%,from,8.18%
looked,and,26.88%,he,17.2%,henry,6.45%
had,he,26.28%,it,6.11%,i,5.75%
passed,had,15.0%,he,15.0%,and,8.33%
up,got,12.0%,took,4.0%,taking,4.0%
eyes,his,28.44%,her,10.09%,the,8.26%
upon,hand,11.9%,influence,3.57%,look,3.57%
might,you,14.75%,he,11.48%,it,9.84%
your,of,12.62%,in,5.34%,with,4.85%
you,to,4.45%,that,4.45%,if,3.48%
have,i,26.2%,you,18.72%,to,9.98%
said,he,18.04%,dorian,5.1%,you,4.71%
must,you,39.61%,i,29.87%,it,5.19%
too,is,9.43%,far,8.49%,was,5.66%
i,that,5.54%,but,4.39%,and,4.09%
been,had,48.73%,have,17.37%,has,10.59%
people,the,8.25%,other,5.15%,of,4.12%
see,to,30.33%,i,12.3%,you,9.84%
don't,i,37.65%,you,16.47%,they,3.14%
shall,i,63.29%,you,11.39%,we,3.8%
answered,he,38.37%,she,11.63%,dorian,4.65%
head,his,43.4%,her,20.75%,the,9.43%
back,came,10.0%,come,7.0%,get,6.0%
my,in,6.27%,of,5.94%,all,2.64%
dear,my,84.93%,poor,1.37%,violin,1.37%
why,me,6.52%,it,6.52%,reason,5.43%
any,at,13.68%,of,11.11%,to,6.84%
what,know,8.33%,and,3.28%,me,3.28%
world,the,75.56%,whole,6.67%,a,3.33%
want,i,39.05%,don't,20.95%,you,16.19%
than,more,23.14%,better,13.22%,less,6.61%
would,he,19.87%,you,12.38%,i,10.1%
men,young,13.7%,the,9.59%,old,5.48%
old,the,24.59%,an,14.75%,of,11.48%
if,as,17.49%,and,4.04%,that,3.59%
know,i,23.86%,don't,20.45%,you,17.61%
will,you,30.0%,i,20.0%,it,6.5%
me,to,18.93%,tell,6.31%,told,5.93%
much,too,25.27%,so,19.78%,very,8.79%
out,went,5.77%,passed,3.21%,go,2.56%
yes,him,7.41%,oh,6.17%,voice,2.47%
made,had,15.45%,have,12.73%,and,7.27%
course,of,100.0%
where,and,5.56%,know,3.7%,you,3.7%
moment,a,55.22%,the,14.93%,every,4.48%
down,come,8.91%,and,6.93%,himself,6.93%
something,was,16.67%,have,7.14%,or,6.35%
look,to,25.27%,a,15.38%,and,7.69%
how,and,5.44%,know,3.4%,harry,2.72%
told,he,11.84%,i,10.53%,you,9.21%
say,to,32.99%,you,13.4%,dare,7.22%
always,is,9.09%,i,8.18%,was,6.36%
never,i,13.07%,had,8.52%,have,7.39%
should,i,39.13%,you,13.04%,one,6.96%
our,of,11.11%,for,6.94%,in,5.56%
harry,you,5.23%,that,4.07%,dear,2.91%
am,i,97.84%,gray,0.43%,him,0.43%
better,had,18.52%,is,11.11%,much,11.11%
one's,of,11.11%,in,7.41%,him,5.56%
nothing,is,13.04%,was,10.87%,absolutely,6.52%
hands,his,31.37%,her,9.8%,white,5.88%
good,a,10.61%,be,7.58%,very,6.06%
us,let,20.66%,to,13.22%,of,9.92%
asked,he,27.12%,i,15.25%,she,6.78%
tell,to,19.35%,will,8.6%,i,7.53%
them,of,17.73%,to,4.93%,in,3.45%
love,in,20.0%,i,10.91%,my,8.18%
going,am,18.39%,was,18.39%,is,9.2%
did,he,17.17%,i,15.15%,what,12.12%
great,a,40.0%,the,26.67%,that,4.0%
other,the,26.39%,each,25.0%,some,8.33%
most,the,44.59%,a,9.46%,is,5.41%
very,a,16.26%,is,10.57%,was,7.32%
she,that,4.73%,as,4.49%,and,3.55%
over,came,8.28%,went,4.73%,was,4.73%
her,of,7.74%,to,7.52%,in,6.15%
cried,he,24.47%,she,15.96%,harry,7.45%
two,the,15.62%,only,7.81%,and,6.25%
went,he,33.87%,and,24.19%,i,6.45%
white,a,14.29%,the,7.14%,of,7.14%
after,look,3.88%,said,3.88%,him,3.88%
afraid,am,37.7%,was,11.48%,be,8.2%
before,you,5.48%,him,5.48%,there,4.11%
every,to,10.0%,in,10.0%,for,6.67%
soul,the,26.47%,own,16.18%,his,13.24%
its,with,15.08%,in,11.11%,of,9.52%
felt,he,58.67%,i,14.67%,she,8.0%
could,he,22.96%,i,17.04%,one,7.41%
lady,at,7.35%,old,7.35%,to,5.88%
looking,and,18.18%,was,9.09%,good,6.06%
turned,he,40.38%,and,13.46%,they,3.85%
come,had,15.45%,to,11.38%,must,7.32%
mr,you,9.2%,it,5.75%,and,4.6%
again,you,9.72%,over,8.33%,me,5.56%
wonderful,a,25.86%,the,12.07%,that,8.62%
got,he,25.49%,had,11.76%,have,9.8%
yet,and,45.83%,not,9.72%,them,4.17%
day,some,25.97%,to,18.18%,the,9.09%
women,the,16.67%,and,9.09%,that,7.58%
sir,right,5.45%,no,5.45%,said,3.64%
house,the,48.08%,a,5.77%,his,3.85%
hand,his,46.97%,the,13.64%,a,6.06%
lips,his,19.64%,her,12.5%,your,5.36%
let,you,6.15%,it,4.62%,to,4.62%
left,had,22.22%,and,9.26%,the,5.56%
night,to,35.42%,the,8.33%,last,6.25%
table,the,69.49%,a,6.78%,round,3.39%
sibyl,of,9.64%,about,4.82%,for,4.82%
vane,sibyl,68.52%,james,18.52%,mrs,9.26%
